,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
48,May 24-26,248032672,68.9,254693249,65.5,106,Fast & Furious 6,https://www.rottentomatoes.com/m/fast_and_furious_6,21,https://www.boxofficemojo.com/weekend/2013W21/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl1028883969/?ref_=bo_wey_table_36
27,May 31-Jun 2,159570972,-35.7,165545465,-35.0,110,Fast & Furious 6,https://www.rottentomatoes.com/m/fast_and_furious_6,22,https://www.boxofficemojo.com/weekend/2013W22/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl1028883969/?ref_=bo_wey_table_35
26,Jun 7-9,141384924,-11.4,149251384,-9.8,105,The Purge,https://www.rottentomatoes.com/m/the_purge,23,https://www.boxofficemojo.com/weekend/2013W23/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl1684702721/?ref_=bo_wey_table_34
25,Jun 14-16,192954929,36.5,204034802,36.7,102,Man of Steel,https://www.rottentomatoes.com/m/superman_man_of_steel,24,https://www.boxofficemojo.com/weekend/2013W24/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl4034037249/?ref_=bo_wey_table_33
24,Jun 21-23,228593120,18.5,240393582,17.8,107,Monsters University,https://www.rottentomatoes.com/m/monsters_university,25,https://www.boxofficemojo.com/weekend/2013W25/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl1919256065/?ref_=bo_wey_table_32
23,Jun 28-30,180411163,-21.1,190698431,-20.7,104,Monsters University,https://www.rottentomatoes.com/m/monsters_university,26,https://www.boxofficemojo.com/weekend/2013W26/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl1919256065/?ref_=bo_wey_table_31
22,Jul 5-7,219263985,21.5,229781413,20.5,95,Despicable Me 2,https://www.rottentomatoes.com/m/despicable_me_2,27,https://www.boxofficemojo.com/weekend/2013W27/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl105874945/?ref_=bo_wey_table_30
21,Jul 12-14,183777279,-16.2,196649715,-14.4,109,Despicable Me 2,https://www.rottentomatoes.com/m/despicable_me_2,28,https://www.boxofficemojo.com/weekend/2013W28/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl105874945/?ref_=bo_wey_table_29
20,Jul 19-21,174305736,-5.2,195751234,-0.5,109,The Conjuring,https://www.rottentomatoes.com/m/the_conjuring,29,https://www.boxofficemojo.com/weekend/2013W29/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl3830089217/?ref_=bo_wey_table_28
19,Jul 26-28,151703400,-13.0,172372267,-11.9,104,The Wolverine,https://www.rottentomatoes.com/m/the_wolverine_2012,30,https://www.boxofficemojo.com/weekend/2013W30/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl3246097921/?ref_=bo_wey_table_27
18,Aug 2-4,117938083,-22.3,138139733,-19.9,100,2 Guns,https://www.rottentomatoes.com/m/2_guns,31,https://www.boxofficemojo.com/weekend/2013W31/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl1195476481/?ref_=bo_wey_table_26
